ExperimentID,Sellers,Customers,Products,Replication,Ticks,RandomSeed,MeanDiversification,MeanUbiquity,MeanKC1,MeanKP1,Density,Connections,MeanComplexity
1,20,20,10,1,500,138692,,,,,,,
2,20,20,10,2,500,824511,,,,,,,
3,20,20,10,3,500,551027,,,,,,,
4,20,20,10,4,500,993184,,,,,,,
5,20,20,10,5,500,268496,,,,,,,
6,20,20,10,6,500,370105,,,,,,,
7,20,20,10,7,500,412964,,,,,,,
8,20,20,10,8,500,645813,,,,,,,
9,20,20,10,9,500,780019,,,,,,,
10,20,20,10,10,500,908270,,,,,,,
11,20,100,10,1,500,138692,,,,,,,
12,20,100,10,2,500,824511,,,,,,,
13,20,100,10,3,500,551027,,,,,,,
14,20,100,10,4,500,993184,,,,,,,
15,20,100,10,5,500,268496,,,,,,,
16,20,100,10,6,500,370105,,,,,,,
17,20,100,10,7,500,412964,,,,,,,
18,20,100,10,8,500,645813,,,,,,,
19,20,100,10,9,500,780019,,,,,,,
20,20,100,10,10,500,908270,,,,,,,
21,20,500,10,1,500,138692,,,,,,,
22,20,500,10,2,500,824511,,,,,,,
23,20,500,10,3,500,551027,,,,,,,
24,20,500,10,4,500,993184,,,,,,,
25,20,500,10,5,500,268496,,,,,,,
26,20,500,10,6,500,370105,,,,,,,
27,20,500,10,7,500,412964,,,,,,,
28,20,500,10,8,500,645813,,,,,,,
29,20,500,10,9,500,780019,,,,,,,
30,20,500,10,10,500,908270,,,,,,,
31,20,20,25,1,500,138692,,,,,,,
32,20,20,25,2,500,824511,,,,,,,
33,20,20,25,3,500,551027,,,,,,,
34,20,20,25,4,500,993184,,,,,,,
35,20,20,25,5,500,268496,,,,,,,
36,20,20,25,6,500,370105,,,,,,,
37,20,20,25,7,500,412964,,,,,,,
38,20,20,25,8,500,645813,,,,,,,
39,20,20,25,9,500,780019,,,,,,,
40,20,20,25,10,500,908270,,,,,,,
41,20,100,25,1,500,138692,,,,,,,
42,20,100,25,2,500,824511,,,,,,,
43,20,100,25,3,500,551027,,,,,,,
44,20,100,25,4,500,993184,,,,,,,
45,20,100,25,5,500,268496,,,,,,,
46,20,100,25,6,500,370105,,,,,,,
47,20,100,25,7,500,412964,,,,,,,
48,20,100,25,8,500,645813,,,,,,,
49,20,100,25,9,500,780019,,,,,,,
50,20,100,25,10,500,908270,,,,,,,
51,20,500,25,1,500,138692,,,,,,,
52,20,500,25,2,500,824511,,,,,,,
53,20,500,25,3,500,551027,,,,,,,
54,20,500,25,4,500,993184,,,,,,,
55,20,500,25,5,500,268496,,,,,,,
56,20,500,25,6,500,370105,,,,,,,
57,20,500,25,7,500,412964,,,,,,,
58,20,500,25,8,500,645813,,,,,,,
59,20,500,25,9,500,780019,,,,,,,
60,20,500,25,10,500,908270,,,,,,,
61,20,20,50,1,500,138692,,,,,,,
62,20,20,50,2,500,824511,,,,,,,
63,20,20,50,3,500,551027,,,,,,,
64,20,20,50,4,500,993184,,,,,,,
65,20,20,50,5,500,268496,,,,,,,
66,20,20,50,6,500,370105,,,,,,,
67,20,20,50,7,500,412964,,,,,,,
68,20,20,50,8,500,645813,,,,,,,
69,20,20,50,9,500,780019,,,,,,,
70,20,20,50,10,500,908270,,,,,,,
71,20,100,50,1,500,138692,,,,,,,
72,20,100,50,2,500,824511,,,,,,,
73,20,100,50,3,500,551027,,,,,,,
74,20,100,50,4,500,993184,,,,,,,
75,20,100,50,5,500,268496,,,,,,,
76,20,100,50,6,500,370105,,,,,,,
77,20,100,50,7,500,412964,,,,,,,
78,20,100,50,8,500,645813,,,,,,,
79,20,100,50,9,500,780019,,,,,,,
80,20,100,50,10,500,908270,,,,,,,
81,20,500,50,1,500,138692,,,,,,,
82,20,500,50,2,500,824511,,,,,,,
83,20,500,50,3,500,551027,,,,,,,
84,20,500,50,4,500,993184,,,,,,,
85,20,500,50,5,500,268496,,,,,,,
86,20,500,50,6,500,370105,,,,,,,
87,20,500,50,7,500,412964,,,,,,,
88,20,500,50,8,500,645813,,,,,,,
89,20,500,50,9,500,780019,,,,,,,
90,20,500,50,10,500,908270,,,,,,,
91,50,20,10,1,500,138692,,,,,,,
92,50,20,10,2,500,824511,,,,,,,
93,50,20,10,3,500,551027,,,,,,,
94,50,20,10,4,500,993184,,,,,,,
95,50,20,10,5,500,268496,,,,,,,
96,50,20,10,6,500,370105,,,,,,,
97,50,20,10,7,500,412964,,,,,,,
98,50,20,10,8,500,645813,,,,,,,
99,50,20,10,9,500,780019,,,,,,,
100,50,20,10,10,500,908270,,,,,,,
101,50,100,10,1,500,138692,,,,,,,
102,50,100,10,2,500,824511,,,,,,,
103,50,100,10,3,500,551027,,,,,,,
104,50,100,10,4,500,993184,,,,,,,
105,50,100,10,5,500,268496,,,,,,,
106,50,100,10,6,500,370105,,,,,,,
107,50,100,10,7,500,412964,,,,,,,
108,50,100,10,8,500,645813,,,,,,,
109,50,100,10,9,500,780019,,,,,,,
110,50,100,10,10,500,908270,,,,,,,
111,50,500,10,1,500,138692,,,,,,,
112,50,500,10,2,500,824511,,,,,,,
113,50,500,10,3,500,551027,,,,,,,
114,50,500,10,4,500,993184,,,,,,,
115,50,500,10,5,500,268496,,,,,,,
116,50,500,10,6,500,370105,,,,,,,
117,50,500,10,7,500,412964,,,,,,,
118,50,500,10,8,500,645813,,,,,,,
119,50,500,10,9,500,780019,,,,,,,
120,50,500,10,10,500,908270,,,,,,,
121,50,20,25,1,500,138692,,,,,,,
122,50,20,25,2,500,824511,,,,,,,
123,50,20,25,3,500,551027,,,,,,,
124,50,20,25,4,500,993184,,,,,,,
125,50,20,25,5,500,268496,,,,,,,
126,50,20,25,6,500,370105,,,,,,,
127,50,20,25,7,500,412964,,,,,,,
128,50,20,25,8,500,645813,,,,,,,
129,50,20,25,9,500,780019,,,,,,,
130,50,20,25,10,500,908270,,,,,,,
131,50,100,25,1,500,138692,,,,,,,
132,50,100,25,2,500,824511,,,,,,,
133,50,100,25,3,500,551027,,,,,,,
134,50,100,25,4,500,993184,,,,,,,
135,50,100,25,5,500,268496,,,,,,,
136,50,100,25,6,500,370105,,,,,,,
137,50,100,25,7,500,412964,,,,,,,
138,50,100,25,8,500,645813,,,,,,,
139,50,100,25,9,500,780019,,,,,,,
140,50,100,25,10,500,908270,,,,,,,
141,50,500,25,1,500,138692,,,,,,,
142,50,500,25,2,500,824511,,,,,,,
143,50,500,25,3,500,551027,,,,,,,
144,50,500,25,4,500,993184,,,,,,,
145,50,500,25,5,500,268496,,,,,,,
146,50,500,25,6,500,370105,,,,,,,
147,50,500,25,7,500,412964,,,,,,,
148,50,500,25,8,500,645813,,,,,,,
149,50,500,25,9,500,780019,,,,,,,
150,50,500,25,10,500,908270,,,,,,,
151,50,20,50,1,500,138692,,,,,,,
152,50,20,50,2,500,824511,,,,,,,
153,50,20,50,3,500,551027,,,,,,,
154,50,20,50,4,500,993184,,,,,,,
155,50,20,50,5,500,268496,,,,,,,
156,50,20,50,6,500,370105,,,,,,,
157,50,20,50,7,500,412964,,,,,,,
158,50,20,50,8,500,645813,,,,,,,
159,50,20,50,9,500,780019,,,,,,,
160,50,20,50,10,500,908270,,,,,,,
161,50,100,50,1,500,138692,,,,,,,
162,50,100,50,2,500,824511,,,,,,,
163,50,100,50,3,500,551027,,,,,,,
164,50,100,50,4,500,993184,,,,,,,
165,50,100,50,5,500,268496,,,,,,,
166,50,100,50,6,500,370105,,,,,,,
167,50,100,50,7,500,412964,,,,,,,
168,50,100,50,8,500,645813,,,,,,,
169,50,100,50,9,500,780019,,,,,,,
170,50,100,50,10,500,908270,,,,,,,
171,50,500,50,1,500,138692,,,,,,,
172,50,500,50,2,500,824511,,,,,,,
173,50,500,50,3,500,551027,,,,,,,
174,50,500,50,4,500,993184,,,,,,,
175,50,500,50,5,500,268496,,,,,,,
176,50,500,50,6,500,370105,,,,,,,
177,50,500,50,7,500,412964,,,,,,,
178,50,500,50,8,500,645813,,,,,,,
179,50,500,50,9,500,780019,,,,,,,
180,50,500,50,10,500,908270,,,,,,,
181,100,20,10,1,500,138692,,,,,,,
182,100,20,10,2,500,824511,,,,,,,
183,100,20,10,3,500,551027,,,,,,,
184,100,20,10,4,500,993184,,,,,,,
185,100,20,10,5,500,268496,,,,,,,
186,100,20,10,6,500,370105,,,,,,,
187,100,20,10,7,500,412964,,,,,,,
188,100,20,10,8,500,645813,,,,,,,
189,100,20,10,9,500,780019,,,,,,,
190,100,20,10,10,500,908270,,,,,,,
191,100,100,10,1,500,138692,,,,,,,
192,100,100,10,2,500,824511,,,,,,,
193,100,100,10,3,500,551027,,,,,,,
194,100,100,10,4,500,993184,,,,,,,
195,100,100,10,5,500,268496,,,,,,,
196,100,100,10,6,500,370105,,,,,,,
197,100,100,10,7,500,412964,,,,,,,
198,100,100,10,8,500,645813,,,,,,,
199,100,100,10,9,500,780019,,,,,,,
200,100,100,10,10,500,908270,,,,,,,
201,100,500,10,1,500,138692,,,,,,,
202,100,500,10,2,500,824511,,,,,,,
203,100,500,10,3,500,551027,,,,,,,
204,100,500,10,4,500,993184,,,,,,,
205,100,500,10,5,500,268496,,,,,,,
206,100,500,10,6,500,370105,,,,,,,
207,100,500,10,7,500,412964,,,,,,,
208,100,500,10,8,500,645813,,,,,,,
209,100,500,10,9,500,780019,,,,,,,
210,100,500,10,10,500,908270,,,,,,,
211,100,20,25,1,500,138692,,,,,,,
212,100,20,25,2,500,824511,,,,,,,
213,100,20,25,3,500,551027,,,,,,,
214,100,20,25,4,500,993184,,,,,,,
215,100,20,25,5,500,268496,,,,,,,
216,100,20,25,6,500,370105,,,,,,,
217,100,20,25,7,500,412964,,,,,,,
218,100,20,25,8,500,645813,,,,,,,
219,100,20,25,9,500,780019,,,,,,,
220,100,20,25,10,500,908270,,,,,,,
221,100,100,25,1,500,138692,,,,,,,
222,100,100,25,2,500,824511,,,,,,,
223,100,100,25,3,500,551027,,,,,,,
224,100,100,25,4,500,993184,,,,,,,
225,100,100,25,5,500,268496,,,,,,,
226,100,100,25,6,500,370105,,,,,,,
227,100,100,25,7,500,412964,,,,,,,
228,100,100,25,8,500,645813,,,,,,,
229,100,100,25,9,500,780019,,,,,,,
230,100,100,25,10,500,908270,,,,,,,
231,100,500,25,1,500,138692,,,,,,,
232,100,500,25,2,500,824511,,,,,,,
233,100,500,25,3,500,551027,,,,,,,
234,100,500,25,4,500,993184,,,,,,,
235,100,500,25,5,500,268496,,,,,,,
236,100,500,25,6,500,370105,,,,,,,
237,100,500,25,7,500,412964,,,,,,,
238,100,500,25,8,500,645813,,,,,,,
239,100,500,25,9,500,780019,,,,,,,
240,100,500,25,10,500,908270,,,,,,,
241,100,20,50,1,500,138692,,,,,,,
242,100,20,50,2,500,824511,,,,,,,
243,100,20,50,3,500,551027,,,,,,,
244,100,20,50,4,500,993184,,,,,,,
245,100,20,50,5,500,268496,,,,,,,
246,100,20,50,6,500,370105,,,,,,,
247,100,20,50,7,500,412964,,,,,,,
248,100,20,50,8,500,645813,,,,,,,
249,100,20,50,9,500,780019,,,,,,,
250,100,20,50,10,500,908270,,,,,,,
251,100,100,50,1,500,138692,,,,,,,
252,100,100,50,2,500,824511,,,,,,,
253,100,100,50,3,500,551027,,,,,,,
254,100,100,50,4,500,993184,,,,,,,
255,100,100,50,5,500,268496,,,,,,,
256,100,100,50,6,500,370105,,,,,,,
257,100,100,50,7,500,412964,,,,,,,
258,100,100,50,8,500,645813,,,,,,,
259,100,100,50,9,500,780019,,,,,,,
260,100,100,50,10,500,908270,,,,,,,
261,100,500,50,1,500,138692,,,,,,,
262,100,500,50,2,500,824511,,,,,,,
263,100,500,50,3,500,551027,,,,,,,
264,100,500,50,4,500,993184,,,,,,,
265,100,500,50,5,500,268496,,,,,,,
266,100,500,50,6,500,370105,,,,,,,
267,100,500,50,7,500,412964,,,,,,,
268,100,500,50,8,500,645813,,,,,,,
269,100,500,50,9,500,780019,,,,,,,
270,100,500,50,10,500,908270,,,,,,,
