[run number],operating-cost,[reporter],[final],[min],[max],[mean],[total steps]
1,0,[step],1000,0,1000,500,1000
1,,count sellers,20,20,20,20,1000
1,,exited-sellers,0,0,0,0,1000
1,,survival-rate,1,1,1,1,1000
1,,mean-cash,1106.5,1000,1106.5,1106.126873126873,1000
1,,mean-debt,0,0,0,0,1000
1,,mean-buyer-budget,43,43,641.75,45.086663336663335,1000
1,,count offers,124,24,124,78.46353646353646,1000
1,,link-loss,0,0,0,0,1000
1,,mean-complexity,8,3.5,8,6.472027972027988,1000
2,0,[step],1000,0,1000,500,1000
2,,count sellers,20,20,20,20,1000
2,,exited-sellers,0,0,0,0,1000
2,,survival-rate,1,1,1,1,1000
2,,mean-cash,1111375,1000,1111375,1110.955044955045,1000
2,,mean-debt,0,0,0,0,1000
2,,mean-buyer-budget,35.8,35.8,625.8,38.04900099900096,1000
2,,count offers,125,13,125,76.07192807192807,1000
2,,link-loss,0,0,0,0,1000
2,,mean-complexity,8.45,3.95,8.45,6.9446053946053485,1000
3,0,[step],1000,0,1000,500,1000
3,,count sellers,20,20,20,20,1000
3,,exited-sellers,0,0,0,0,1000
3,,survival-rate,1,1,1,1,1000
3,,mean-cash,1126,1000,1126,1125.4957542457541,1000
3,,mean-debt,0,0,0,0,1000
3,,mean-buyer-budget,36.7,36.7,606.7,38.79915084915083,1000
3,,count offers,111,20,111,78.9080919080919,1000
3,,link-loss,0,0,0,0,1000
3,,mean-complexity,7.8,3.45,7.8,6.414435564435539,1000
4,0,[step],1000,0,1000,500,1000
4,,count sellers,20,20,20,20,1000
4,,exited-sellers,0,0,0,0,1000
4,,survival-rate,1,1,1,1,1000
4,,mean-cash,1052.5,1000,1052.5,1052.2857142857142,1000
4,,mean-debt,0,0,0,0,1000
4,,mean-buyer-budget,39.95,39.95,508.7,41.525924075923854,1000
4,,count offers,114,8,114,62.00999000999001,1000
4,,link-loss,0,0,0,0,1000
4,,mean-complexity,8.4,4.1,8.4,6.609640359640376,1000
5,0,[step],1000,0,1000,500,1000
5,,count sellers,20,20,20,20,1000
5,,exited-sellers,0,0,0,0,1000
5,,survival-rate,1,1,1,1,1000
5,,mean-cash,1120.75,1000,1120.75,1120.2925824175825,1000
5,,mean-debt,0,0,0,0,1000
5,,mean-buyer-budget,40.65,40.65,630.65,42.81158841158925,1000
5,,count offers,145,22,145,90.8881118881119,1000
5,,link-loss,0,0,0,0,1000
5,,mean-complexity,8.75,4.5,8.75,7.131718281718276,1000
6,0,[step],1000,0,1000,500,1000
6,,count sellers,20,20,20,20,1000
6,,exited-sellers,0,0,0,0,1000
6,,survival-rate,1,1,1,1,1000
6,,mean-cash,1163.5,1000,1163.5,1162.8702547452547,1000
6,,mean-debt,0,0,0,0,1000
6,,mean-buyer-budget,44.9,44.9,589.9,46.99915084915175,1000
6,,count offers,157,36,157,107.53246753246754,1000
6,,link-loss,0,0,0,0,1000
6,,mean-complexity,8.5,4.05,8.5,7.263486513486538,1000
7,0,[step],1000,0,1000,500,1000
7,,count sellers,20,20,20,20,1000
7,,exited-sellers,0,0,0,0,1000
7,,survival-rate,1,1,1,1,1000
7,,mean-cash,1000,1000,1000,1000,1000
7,,mean-debt,0,0,0,0,1000
7,,mean-buyer-budget,56.35,56.35,598.85,58.35049950049849,1000
7,,count offers,100,0,100,48.91608391608391,1000
7,,link-loss,0,0,0,0,1000
7,,mean-complexity,7.5,3.35,7.5,5.878771228771218,1000
8,0,[step],1000,0,1000,500,1000
