"BehaviorSpace results (NetLogo 7.0.4)","Spreadsheet version 2.0"
"VirtEcom1.2.nlogox"
"Experiment A_OperatingCost"
"09/06/2026 23:54:47:438 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7"
"operating-cost","0",,,,,,,,,,"5",,,,,,,,,,"10",,,,,,,,,,"20",,,,,,,,,,"30",,,,,,,,,,"40",,,,,,,,,,"50",,,,,,,,,
"[reporter]","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity"
"[final]","1000","20","0","1","1075.375","0","48.25","121","0","8.3","1000","6","14","0.3","-619.1666666666666","3333.3333333333335","34.05","41","88","8.333333333333334","1000","0","20","0","0","0","49.75","0","84","0","1000","2","18","0.1","-8645","10250","53.35","20","63","10","1000","2","18","0.1","-14250","14750","38.85","5","56","7","1000","2","18","0.1","-19250","19750","38.1","9","28","8","1000","0","20","0","0","0","43.7","0","61","0"
"[min]","0","20","0","1","1000","0","48.25","20","0","3.65","0","6","0","0.3","-619.1666666666666","0","34.05","14","0","4","0","0","0","0","0","0","49.75","0","0","0","0","2","0","0.1","-8645","0","53.35","13","0","3.9","0","2","0","0.1","-14250","0","38.85","2","0","3.65","0","2","0","0.1","-19250","0","38.1","2","0","3.95","0","0","0","0","-3700","0","43.7","0","0","0"
"[max]","1000","20","0","1","1075.375","0","580.75","121","0","8.3","1000","20","14","1","1021.875","3333.3333333333335","436.55","123","88","8.5","1000","20","20","1","1104.5","5500","669.75","79","84","7.166666666666667","1000","20","18","1","1000","10250","649.6","62","63","10","1000","20","18","1","1000","14750","595.1","43","56","7.333333333333333","1000","20","18","1","1000","19750","690.6","19","28","8","1000","20","20","1","1000","12000","597.45","57","61","7"
"[mean]","500","20","0","1","1075.1003996003997","0","50.05194805194805","86.4905094905095","0","6.823076923076961","500","16.681318681318682","3.318681318681319","0.8340659340659339","120.61353857320456","1563.0672579723498","35.246303696303414","62.86713286713287","20.415584415584416","6.861501998390124","500","8.295704295704295","11.704295704295705","0.41478521478521535","185.1202760359848","1527.7819666181288","52.056443556443554","26.26973026973027","48.68931068931069","3.5918480620278896","500","7.036963036963037","12.963036963036963","0.35184815184816354","-3236.8892780725505","5675.448651309188","55.516583416582435","22.45054945054945","47.94205794205794","7.196699905042298","500","6.036963036963037","13.963036963036963","0.3018481518481584","-5414.515682622545","8550.263226062425","40.9603896103888","13.098901098901099","40.24875124875125","6.394040103530633","500","4.712287712287712","15.287712287712287","0.2356143856143816","-8276.063609179633","10694.511990004732","40.516333666332855","7.020979020979021","21.78021978021978","6.030909721379538","500","2.081918081918082","17.918081918081917","0.10409590409590383","-264.37226265797693","1144.0995512424083","45.92902097902048","5.7852147852147855","54.21878121878122","1.5628775985918857"
"[total steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity"
