"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"VirtEcom1.2.nlogox"
"Experiment A_OperatingCost"
"09/06/2026 23:54:45:530 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","operating-cost","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity"
"3","10","0","20","0","1","1000","0","669.75","26","0","3.95"
"2","5","0","20","0","1","1000","0","436.55","14","0","4"
"5","30","0","20","0","1","1000","0","595.1","18","0","3.65"
"4","20","0","20","0","1","1000","0","649.6","21","0","3.9"
"6","40","0","20","0","1","1000","0","690.6","15","0","3.95"
"7","50","0","20","0","1","1000","0","597.45","35","0","4.25"
"5","30","1","20","0","1","991.375","0","478.85","18","0","3.65"
"3","10","1","20","0","1","1024.125","0","556","26","0","3.95"
"2","5","1","20","0","1","1007.375","0","325.3","14","0","4"
"6","40","1","20","0","1","968.625","0","574.35","15","0","3.95"
"4","20","1","20","0","1","995","0","537.1","21","0","3.9"
"7","50","1","20","0","1","971","0","489.95","35","0","4.25"
"5","30","2","20","0","1","975.25","0","380.1","18","0","3.65"
"2","5","2","20","0","1","1006.875","0","232.8","14","0","4"
"6","40","2","20","0","1","935.75","0","459.35","15","0","3.95"
"3","10","2","20","0","1","1045.625","0","451","27","0","4"
"4","20","2","20","0","1","991.5","0","425.85","21","0","3.9"
"7","50","2","20","0","1","940.5","0","399.95","35","0","4.25"
"5","30","3","20","0","1","964","0","288.85","18","0","3.7"
"6","40","3","20","0","1","905.875","0","348.1","15","0","3.95"
"2","5","3","20","0","1","1012","0","164.05","14","0","4"
"3","10","3","20","0","1","1067.5","0","344.75","31","0","4.05"
"5","30","4","20","0","1","946","0","226.35","18","0","3.7"
"4","20","3","20","0","1","988","0","327.1","21","0","3.9"
"6","40","4","20","0","1","869.625","0","254.35","15","0","3.95"
"2","5","4","20","0","1","1014.875","0","114.05","23","0","4.1"
"3","10","4","20","0","1","1083.375","0","258.5","31","0","4.05"
"7","50","3","20","0","1","905.5","0","331.2","35","0","4.25"
"5","30","5","20","0","1","924.25","0","176.35","18","0","3.7"
"4","20","4","20","0","1","983","0","245.85","21","0","3.9"
"2","5","5","20","0","1","1021.875","0","74.05","23","0","4.1"
"3","10","5","20","0","1","1092.5","0","194.75","35","0","4.1"
"7","50","4","20","0","1","867.5","0","266.2","35","0","4.25"
"6","40","5","20","0","1","837.125","0","181.85","19","0","4"
"5","30","6","20","0","1","902.5","0","137.6","18","0","3.7"
"4","20","5","20","0","1","975","0","180.85","21","0","3.9"
"3","10","6","20","0","1","1099.75","0","137.25","35","0","4.15"
"2","5","6","20","0","1","1021.375","0","59.05","23","0","4.1"
"6","40","6","20","0","1","811.75","0","118.1","19","0","4"
"7","50","5","20","0","1","831","0","202.45","35","0","4.25"
"5","30","7","20","0","1","880.75","0","100.1","18","0","3.7"
"4","20","6","20","0","1","967","0","128.35","24","0","3.95"
"3","10","7","20","0","1","1104","0","89.75","35","0","4.2"
"6","40","7","20","0","1","778.5","0","75.6","19","0","4"
"1","0","0","20","0","1","1000","0","580.75","20","0","3.65"
"5","30","8","20","0","1","858.625","0","68.85","18","0","3.7"
"2","5","7","20","0","1","1019.375","0","49.05","23","0","4.1"
"7","50","6","20","0","1","794.5","0","144.95","35","0","4.35"
"3","10","8","20","0","1","1104.5","0","54.75","35","0","4.2"
"4","20","7","20","0","1","958.25","0","90.85","24","0","3.95"
"6","40","8","20","0","1","741.875","0","54.35","19","0","4"
"5","30","9","20","0","1","833.125","0","48.85","18","0","3.7"
"2","5","8","20","0","1","1015.875","0","44.05","23","0","4.1"
"7","50","7","20","0","1","755","0","103.7","35","0","4.35"
"6","40","9","20","0","1","703.75","0","43.1","19","0","4"
"3","10","9","20","0","1","1096","0","49.75","35","0","4.25"
"4","20","8","20","0","1","946.5","0","63.35","24","0","3.95"
"5","30","10","20","0","1","806.125","0","38.85","18","0","3.7"
"2","5","9","20","0","1","1012.375","0","39.05","23","0","4.1"
"6","40","10","20","0","1","663.75","0","38.1","19","0","4.05"
"7","50","8","20","0","1","714","0","73.7","35","0","4.35"
"3","10","10","20","0","1","1086","0","49.75","35","0","4.25"
"4","20","9","20","0","1","929.5","0","53.35","24","0","4"
"5","30","11","20","0","1","776.125","0","38.85","18","0","3.75"
"2","5","10","20","0","1","1008.875","0","34.05","23","0","4.1"
"6","40","11","20","0","1","623.75","0","38.1","19","0","4.05"
"3","10","11","20","0","1","1076","0","49.75","35","0","4.25"
"7","50","9","20","0","1","668.5","0","58.7","35","0","4.35"
"4","20","10","20","0","1","909.5","0","53.35","27","0","4.05"
"1","0","1","20","0","1","1016.5","0","463.25","20","0","3.65"
"5","30","12","20","0","1","746.125","0","38.85","18","0","3.75"
"2","5","11","20","0","1","1003.875","0","34.05","23","0","4.1"
"3","10","12","20","0","1","1066","0","49.75","35","0","4.25"
"2","5","12","20","0","1","998.875","0","34.05","24","0","4.15"
"6","40","12","20","0","1","583.75","0","38.1","19","0","4.05"
"4","20","11","20","0","1","889.5","0","53.35","27","0","4.05"
"5","30","13","20","0","1","716.125","0","38.85","18","0","3.75"
"3","10","13","20","0","1","1056","0","49.75","35","0","4.3"
"7","50","10","20","0","1","623","0","43.7","35","0","4.35"
"1","0","2","20","0","1","1031.5","0","344.5","20","0","3.65"
"6","40","13","20","0","1","543.75","0","38.1","19","0","4.1"
"5","30","14","20","0","1","686.125","0","38.85","18","0","3.8"
